CATEGORY,OVERALL_CATEGORY
CLEANING_AGENT,Home & Living
LABEL,Specialty Categories
VIDEO_PROJECTOR,Electronics & Media
SHOES,Fashion & Accessories
UNDERGARMENT_THIGH_SLIMMER,Fashion & Accessories
PRETZEL,Food & Grocery
INKJET_PRINTER_INK,Specialty Categories
ELECTRONIC_GIFT_CARD,Gifts & Occasions
BACKPACK,Fashion & Accessories
SHIRT,Fashion & Accessories
GIFT_CARD,Gifts & Occasions
PET_FOOD,Specialty Categories
STORAGE_BOX,Home & Living
MAJOR_HOME_APPLIANCES,Home & Living
MEDICATION,Health & Personal Care
SHEET_PAN,Home & Living
THERMOPLASTIC_FILAMENT,Entertainment & Hobbies
BLANKET,Home & Living
MINERAL_SUPPLEMENT,Health & Personal Care
CORD_MANAGEMENT_COVER,Home & Living
ABIS_BOOK,Entertainment & Hobbies
HAIR_TIE,Health & Personal Care
PET_SUPPLIES,Specialty Categories
COSTUME_HEADWEAR,Fashion & Accessories
FORK,Home & Living
APPAREL_GLOVES,Fashion & Accessories
BEAUTY,Health & Personal Care
PHYSICAL_VIDEO_GAME_SOFTWARE,Electronics & Media
WALL_ART,Home & Living
NA,
FERTILIZER,Home & Living
DAIRY_BASED_ICE_CREAM,Food & Grocery
FLAVORED_DRINK_CONCENTRATE,Food & Grocery
DRESS,Fashion & Accessories
CHOCOLATE_CANDY,Food & Grocery
WRITING_INSTRUMENT,Specialty Categories
MAKEUP_PRIMER,Health & Personal Care
INSTRUMENT_PARTS_AND_ACCESSORIES,Entertainment & Hobbies
PROTEIN_SUPPLEMENT_POWDER,Health & Personal Care
COFFEE,Food & Grocery
NIGHTGOWN_NIGHTSHIRT,Fashion & Accessories
VEGETABLE,Food & Grocery
WIG,Fashion & Accessories
SPRAY_BOTTLE,Home & Living
HOME_MIRROR,Home & Living
MENSTRUAL_CUP,Health & Personal Care
RUG,Home & Living
TOWEL,Home & Living
FRUIT,Food & Grocery
WOUND_DRESSING,Health & Personal Care
PET_TOY,Specialty Categories
ELECTRONIC_ADAPTER,Electronics & Media
SANITARY_NAPKIN,Health & Personal Care
CHARGING_ADAPTER,Electronics & Media
BABY_PRODUCT,Specialty Categories
PHYSICAL_MOVIE,Electronics & Media
TOOTHBRUSH,Health & Personal Care
COSMETIC_BRUSH,Health & Personal Care
COMPUTER_INPUT_DEVICE,Electronics & Media
HOME_BED_AND_BATH,Home & Living
NETWORKING_ROUTER,Electronics & Media
PET_APPAREL,Specialty Categories
SNACK_FOOD_BAR,Food & Grocery
TOOTH_CLEANING_AGENT,Health & Personal Care
LAB_SUPPLY,Specialty Categories
SPORTING_GOODS,Sports & Outdoors
DECORATIVE_PILLOW_COVER,Home & Living
DAIRY_BASED_DRINK,Food & Grocery
SHORTS,Fashion & Accessories
DOLL_CLOTHING,Entertainment & Hobbies
TEA,Food & Grocery
BRA,Fashion & Accessories
WALLET,Fashion & Accessories
CELLULAR_PHONE_CASE,Electronics & Media
UNDERPANTS,Fashion & Accessories
DRILL,Home & Living
ADHESIVE_TAPES,Specialty Categories
KNIFE_SHARPENER,Home & Living
MEDICAL_COMPRESSION_GARMENT,Health & Personal Care
GROCERY,Food & Grocery
APRON,Home & Living
TAPE_MEASURE,Home & Living
SUGAR_CANDY,Food & Grocery
HEALTH_PERSONAL_CARE,Health & Personal Care
PANTS,Fashion & Accessories
ABIS_MUSIC,Electronics & Media
OUTDOOR_LIVING,Home & Living
OFFICE_PRODUCTS,Specialty Categories
WATER_PUMP,Home & Living
SKIN_TREATMENT_MASK,Health & Personal Care
ELECTROSHOCK_WEAPON,Health & Personal Care
CRACKER,Food & Grocery
BODY_DEODORANT,Health & Personal Care
DAIRY_BASED_CHEESE,Food & Grocery
SEEDS_AND_PLANTS,Home & Living
DRILL_BITS,Home & Living
BAKING_PAPER,Home & Living
CANDY,Food & Grocery
TEETHER,Specialty Categories
SWIMWEAR,Fashion & Accessories
TIGHTS,Fashion & Accessories
PREPARED_DOUGH,Food & Grocery
ROBE,Fashion & Accessories
SHAVING_AGENT,Health & Personal Care
INCONTINENCE_PROTECTOR,Health & Personal Care
THERMOMETER,Health & Personal Care
PUFFED_SNACK,Food & Grocery
BLOOD_PRESSURE_MONITOR,Health & Personal Care
CADDY,Home & Living
SOLAR_PANEL,Home & Living
CONDITIONER,Health & Personal Care
FISH,Food & Grocery
VALVE,Home & Living
BATTERY,Electronics & Media
COAT,Fashion & Accessories
BOARD_GAME,Entertainment & Hobbies
NUTRITIONAL_SUPPLEMENT,Health & Personal Care
CAMERA_TRIPOD,Electronics & Media
LIGHT_BULB,Home & Living
TOYS_AND_GAMES,Entertainment & Hobbies
VITAMIN,Health & Personal Care
DUMBBELL,Health & Personal Care
DRINK_FLAVORED,Food & Grocery
ART_CRAFT_KIT,Entertainment & Hobbies
STICKER_DECAL,Specialty Categories
SKIN_CLEANING_WIPE,Home & Living
SHELF,Home & Living
HAIR_COMB,Health & Personal Care
SAFETY_MASK,Health & Personal Care
FOOD,Food & Grocery
HAIR_STYLING_AGENT,Health & Personal Care
ELECTRIC_SHAVER,Health & Personal Care
BATHWATER_ADDITIVE,Health & Personal Care
FOOD_STORAGE_BAG,Home & Living
GIFT_WRAP,Gifts & Occasions
BED_LINEN_SET,Home & Living
NAIL_POLISH,Health & Personal Care
KITCHEN,Home & Living
RICE_MIX,Food & Grocery
PUZZLES,Entertainment & Hobbies
SKIN_CLEANING_AGENT,Health & Personal Care
TOOLS,Home & Living
BOOK_DOCUMENT_STAND,Specialty Categories
SCREWDRIVER,Home & Living
BREAD,Food & Grocery
WIPER_BLADE,Specialty Categories
FILE_FOLDER,Specialty Categories
CUP_HOLDER,Specialty Categories
CELL_PHONE_GRIP,Electronics & Media
MEAT,Food & Grocery
TRASH_CAN,Home & Living
TABLETOP_GAME,Entertainment & Hobbies
THICKENING_AGENT,Food & Grocery
BRACELET,Fashion & Accessories
COMPUTER_DRIVE_OR_STORAGE,Electronics & Media
BAKING_PAN,Home & Living
ELECTRIC_FAN,Home & Living
POWER_BANK,Electronics & Media
SKIN_EXFOLIANT,Health & Personal Care
HEADPHONES,Electronics & Media
SHAMPOO,Health & Personal Care
PAJAMAS,Fashion & Accessories
SCREEN_PROTECTOR,Electronics & Media
